experiment,complete_info,agg_info,initial_gc,c0,ue_notoll_gc,gc_after_exact_refund,gc_after_agg_refund
Pigou_bpr_low-var,197.06948642815485,197.07050539964257,0.3137254901960784,207.25850299413838,0.3137314786764306,0.3136313588910422,0.313638248371091
Pigou_bpr_med-var,196.657852913294,196.68235715346202,0.3137254901960784,207.2585029941103,0.31375543259783456,0.31364336275396637,0.3136621951742058
Pigou_bpr_high-var,196.1433068332075,196.2368688205571,0.3137254901960784,207.25850299407517,0.3137853749995896,0.3136601297497819,0.31369212867809926
Pigou_bpr_skew-var,196.6635000302633,196.66706903969697,0.3137254901960784,207.25850299413844,0.3137660034156878,0.3136344896922224,0.3136727561518505
Pigou_expanded_low-var,112.75858254168818,112.75915424190025,0.3137254901960784,117.37706044622294,0.3137288786703678,0.3136833085808384,0.3136867597281131
Pigou_expanded_med-var,112.52430375313904,112.53837080318812,0.3137254901960784,117.37706044622293,0.31374243256752554,0.31369008987742447,0.31370031180562385
Pigou_expanded_high-var,112.23106550233193,112.28497155917103,0.3137254901960784,117.37706044622294,0.3137593749389728,0.31370143929724986,0.3137172519025123
Pigou_expanded_skew-var,112.62309445645688,112.62733971376244,0.3137254901960784,117.37706045073472,0.313748413160145,0.31368599011185877,0.313706289882759
Series_parallel_low-var,577.3523156022286,577.3648815021378,0.24561403508771928,605.8048570671469,0.24513607881388966,0.24499774240847635,0.24500024343421606
Series_parallel_med-var,576.2358252022142,576.5254834031626,0.24561403508771928,605.8048570671472,0.24516480085548215,0.24501557624448173,0.24502896119695614
Series_parallel_high-var,574.4697163119829,575.5379577245286,0.24561403508771928,605.8048570671475,0.24520070340747288,0.24503608504819546,0.24506485840038125
Series_parallel_skew-var,577.1261250473351,577.2457561746127,0.24561403508771928,605.8048569375159,0.24517165216955122,0.24499654025601447,0.24503578808007767
Grid_low-var,175.53730511600378,175.5507010643127,0.16666666666666666,177.29425466023466,0.16695980881380365,0.1669418732529348,0.16694803797070298
Grid_med-var,174.6659662010716,174.97847884529494,0.16666666666666666,177.29425466023477,0.16700835500647745,0.1669815233503267,0.1669965833066091
Grid_high-var,173.15174421802266,174.31801207175045,0.16666666666666666,177.29425466023494,0.1670690377473198,0.1670267456248768,0.16705726497649184
Grid_skew-var,175.30867994852986,175.35419173848902,0.16666666666666666,177.2942546727702,0.1670688978019999,0.16696752804510656,0.16705712274714585
